,UTM_X,UTM_Y,Interval,CBA,Regional,Residual
12,325143.5757204082,4247142.406836735,14562.60538775567,-204.56625137974396,-202.78237332567116,-1.783878054072801
13,325143.5757204082,4248355.957285714,15776.15583673492,-207.6963777319628,-203.15776916474718,-4.5386085672156185
14,325143.5757204082,4249569.5077346945,16989.706285715103,-210.33089109383593,-203.72803072996152,-6.602860363874413
15,325143.5757204082,4250783.058183674,18203.256734694354,-209.7632525753592,-204.21093263058032,-5.552319944778873
16,325143.5757204082,4251996.608632653,19416.807183673605,-209.33731243672057,-204.77247507942639,-4.564837357294181
17,325143.5757204082,4253210.159081633,20630.357632653788,-209.90547541647433,-205.39967292880903,-4.505802487665306
18,325143.5757204082,4254423.709530612,21843.90808163304,-209.5415648781714,-206.08654787000054,-3.45501700817087
19,325143.5757204082,4255637.259979592,23057.45853061229,-210.1895338581442,-206.7484187240197,-3.4411151341244874
20,325143.5757204082,4256850.810428572,24271.008979592472,-208.3912353099558,-207.07378886970594,-1.317446440249853
21,325143.5757204082,4258064.360877551,25484.559428571723,-208.1377338630143,-207.53981813680744,-0.5979157262068497
22,325143.5757204082,4259277.91132653,26698.109877550974,-207.8216116436427,-207.96895763813512,0.1473459944924116
23,325143.5757204082,4260491.461775511,27911.660326531157,-207.96058957652446,-208.18547739948184,0.22488782295738474
24,325143.5757204082,4261705.01222449,29125.210775510408,-207.91940474436268,-208.5816334236856,0.662228679322908
25,325143.5757204082,4262918.56267347,30338.76122449059,-208.56846957455494,-208.88949636174797,0.3210267871930341
26,325143.5757204082,4264132.113122449,31552.31167346984,-206.12345015705705,-208.76850193290906,2.6450517758520107
27,325143.5757204082,4265345.6635714285,32765.862122449093,-206.2721359780346,-208.45629000092433,2.1841540228897145
28,325143.5757204082,4266559.214020409,33979.412571429275,-205.80760131900087,-208.1520091350506,2.3444078160497384
29,325143.5757204082,4267772.764469388,35192.963020408526,-205.22919969666856,-207.83600046273892,2.6068007660703643
30,325143.5757204082,4268986.314918367,36406.51346938778,-199.06982629655374,-207.0024889919758,7.932662695422067
31,325143.5757204082,4270199.865367347,37620.06391836796,-203.72990079645194,-206.55543790876663,2.8255371123146915
32,325143.5757204082,4271413.415816327,38833.61436734721,-205.5648555410742,-206.19969342283818,0.6348378817639855
33,325143.5757204082,4272626.966265306,40047.16481632646,-196.32992993396792,-205.27190070160833,8.941970767640413
34,325143.5757204082,4273840.516714286,41260.715265306644,-194.25287480780938,-204.20383462043873,9.95095981262935
35,325143.5757204082,4275054.067163265,42474.265714285895,-195.03590399219465,-203.2203186472504,8.184414655055747
36,325143.5757204082,4276267.6176122455,43687.81616326608,-193.21076111819087,-202.08571645814783,8.874955339956955
37,325143.5757204082,4277481.168061225,44901.36661224533,-190.12127366281922,-200.71662945187524,10.595355789056015
38,325143.5757204082,4278694.718510204,46114.91706122458,-187.55140413790525,-199.0999321105945,11.548527972689243
39,325143.5757204082,4279908.268959184,47328.46751020476,-186.91397854023612,-197.62228044776214,10.708301907526021
40,325143.5757204082,4281121.819408163,48542.01795918401,-185.17333911493466,-195.9992960736775,10.825956958742836
41,325143.5757204082,4282335.369857143,49755.568408163264,-182.0572265839479,-194.17234417098112,12.115117587033211
42,325143.5757204082,4283548.920306123,50969.11885714345,-178.06609496682842,-192.08287457637803,14.016779609549616
43,325143.5757204082,4284762.470755102,52182.6693061227,-175.22294487603892,-190.2484990824923,15.025554206453364
44,325143.5757204082,4285976.021204082,53396.21975510288,-173.0604008739146,-187.88930678075863,14.828905906844028
45,325143.5757204082,4287189.571653062,54609.77020408213,-176.02048293854938,-185.61666273441054,9.596179795861161
46,325143.5757204082,4288403.122102041,55823.32065306138,-173.77227237077508,-183.88145830647267,10.109185935697582
47,325143.5757204082,4289616.672551021,57036.871102041565,-172.56820907509533,-182.21340709626386,9.64519802116854
