,UTM_X,UTM_Y,Interval,CBA,Regional,Residual
12,307054.10803061223,4279908.268959184,18089.467689795943,-182.31749440432765,-188.8487880864275,6.531293682099857
13,308561.56367142854,4279908.268959184,19596.923330612248,-182.37658860192582,-188.2901811922705,5.9135925903446775
14,310069.0193122449,4279908.268959184,21104.37897142861,-170.79267636567738,-186.89295450699487,16.10027814131749
15,311576.4749530612,4279908.268959184,22611.834612244915,-171.27858887368532,-185.4659140179832,14.187325144297887
16,313083.93059387757,4279908.268959184,24119.290253061277,-168.94097190514,-183.62257850498494,14.68160659984494
17,314591.38623469387,4279908.268959184,25626.74589387758,-167.7343713566591,-181.5130777283116,13.778706371652504
18,316098.8418755102,4279908.268959184,27134.201534693886,-170.26406585617227,-179.5142200189204,9.250154162748146
19,317606.29751632654,4279908.268959184,28641.65717551025,-175.64998191223611,-177.90327157910136,2.2532896668652427
20,319113.75315714284,4279908.268959184,30149.112816326553,-178.37769853737746,-176.7397700348071,-1.637928502570361
21,320621.20879795915,4279908.268959184,31656.568457142857,-178.58359097733506,-175.99151811648977,-2.592072860845292
22,322128.6644387755,4279908.268959184,33164.02409795922,-181.162092803287,-175.85516012027406,-5.3069326830129455
23,323636.1200795918,4279908.268959184,34671.479738775524,-183.68888229786754,-176.15681522150498,-7.5320670763625515
24,325143.5757204082,4279908.268959184,36178.93537959189,-186.91397854023612,-176.77546018707127,-10.13851835316484
25,326651.0313612245,4279908.268959184,37686.39102040819,-190.463909183282,-177.40210747776007,-13.06180170552193
26,328158.48700204084,4279908.268959184,39193.846661224554,-192.82341579907862,-178.20570956984875,-14.617706229229867
27,329665.94264285715,4279908.268959184,40701.30230204086,-193.32325339871846,-179.93883088008266,-13.384422518635802
28,331173.39828367345,4279908.268959184,42208.75794285716,-194.06928900752422,-181.69196165960875,-12.377327347915468
29,332680.8539244898,4279908.268959184,43716.213583673525,-193.89787093662753,-183.61172312356933,-10.286147813058193
30,334188.3095653061,4279908.268959184,45223.66922448983,-192.74649472542717,-185.53573261347452,-7.210762111952647
31,335695.7652061224,4279908.268959184,46731.124865306134,-191.79381486589725,-187.19186715268415,-4.601947713213093
32,337203.2208469388,4279908.268959184,48238.5805061225,-195.33596432117054,-188.70617349183297,-6.629790829337566
33,338710.6764877551,4279908.268959184,49746.0361469388,-190.81777014359713,-189.6631020769268,-1.1546680666703253
34,340218.1321285714,4279908.268959184,51253.491787755105,-189.2479056890577,-190.48343397782853,1.235528288770837
35,341725.58776938776,4279908.268959184,52760.94742857147,-195.14103518584133,-191.558737238025,-3.582297947816329
36,343233.04341020406,4279908.268959184,54268.40306938777,-197.18326464231168,-192.59676664913607,-4.5864979931756125
37,344740.4990510204,4279908.268959184,55775.858710204135,-198.27572648369355,-193.47074726017127,-4.804979223522281
38,346247.9546918367,4279908.268959184,57283.31435102044,-200.27657904610368,-194.22556801884986,-6.051011027253821
39,347755.4103326531,4279908.268959184,58790.7699918368,-201.9876183865438,-194.9305066794241,-7.057111707119702
40,349262.8659734694,4279908.268959184,60298.225632653106,-204.77288718838912,-195.811247740168,-8.96163944822112
41,350770.3216142857,4279908.268959184,61805.68127346941,-204.98520724421675,-196.65093375837512,-8.334273485841635
42,352277.77725510206,4279908.268959184,63313.13691428577,-203.6451521389674,-197.40072462009357,-6.2444275188738345
43,353785.23289591837,4279908.268959184,64820.59255510208,-198.4549767399972,-197.83983862121434,-0.615138118782852
44,355292.68853673467,4279908.268959184,66328.04819591838,-198.61329992122444,-198.36441439470107,-0.2488855265233667
45,356800.14417755103,4279908.268959184,67835.50383673474,-198.93203510524705,-198.6410352242454,-0.2909998810016532
46,358307.59981836734,4279908.268959184,69342.95947755105,-201.08639812683302,-199.43092968449432,-1.6554684423387016
47,359815.05545918364,4279908.268959184,70850.41511836735,-202.01782066221074,-200.41323083627532,-1.6045898259354203
