,UTM_X,UTM_Y,Interval,CBA,Regional,Residual
12,347755.4103326531,4247142.406836735,14562.60538775567,-218.21853077217324,-228.10849029007173,9.88995951789849
13,347755.4103326531,4248355.957285714,15776.15583673492,-217.8091136247054,-227.06207606922533,9.252962444519937
14,347755.4103326531,4249569.5077346945,16989.706285715103,-218.37815314736667,-225.94291926170172,7.564766114335043
15,347755.4103326531,4250783.058183674,18203.256734694354,-214.02755873073164,-224.39226621395107,10.364707483219433
16,347755.4103326531,4251996.608632653,19416.807183673605,-216.16698911033032,-223.00143310146464,6.8344439911343215
17,347755.4103326531,4253210.159081633,20630.357632653788,-218.26076798811422,-221.706735369402,3.4459673812877725
18,347755.4103326531,4254423.709530612,21843.90808163304,-220.38773398139247,-220.49029262217874,0.10255864078627042
19,347755.4103326531,4255637.259979592,23057.45853061229,-252.68803555803197,-221.9672750044385,-30.720760553593465
20,347755.4103326531,4256850.810428572,24271.008979592472,-234.7117196021477,-222.31321374625517,-12.398505855892523
21,347755.4103326531,4258064.360877551,25484.559428571723,-213.87385337424763,-221.49583486290325,7.621981488655621
22,347755.4103326531,4259277.91132653,26698.109877550974,-222.28012429161672,-221.64262479249265,-0.6374994991240612
23,347755.4103326531,4260491.461775511,27911.660326531157,-216.91394770190016,-221.42401313514497,4.510065433244819
24,347755.4103326531,4261705.01222449,29125.210775510408,-213.079088263373,-221.29197047277924,8.212882209406246
25,347755.4103326531,4262918.56267347,30338.76122449059,-214.7444654895342,-221.02473468180702,6.2802691922728116
26,347755.4103326531,4264132.113122449,31552.31167346984,-216.0517093771926,-220.88954973969066,4.837840362498071
27,347755.4103326531,4265345.6635714285,32765.862122449093,-215.20923396694073,-220.64578672581172,5.436552758870988
28,347755.4103326531,4266559.214020409,33979.412571429275,-214.88703023741365,-220.7118999186334,5.824869681219752
29,347755.4103326531,4267772.764469388,35192.963020408526,-212.1873960407419,-220.40577737481894,8.218381334077037
30,347755.4103326531,4268986.314918367,36406.51346938778,-211.5472144801537,-219.8893501818989,8.342135701745178
31,347755.4103326531,4270199.865367347,37620.06391836796,-210.783958636971,-219.150598232328,8.366639595357015
32,347755.4103326531,4271413.415816327,38833.61436734721,-208.25664386132908,-215.73279887104314,7.476155009714063
33,347755.4103326531,4272626.966265306,40047.16481632646,-205.175523948039,-213.4607838207271,8.285259872688101
34,347755.4103326531,4273840.516714286,41260.715265306644,-203.24215886250295,-212.6429611659775,9.400802303474563
35,347755.4103326531,4275054.067163265,42474.265714285895,-201.45873443313442,-211.0413157922481,9.582581359113675
36,347755.4103326531,4276267.6176122455,43687.81616326608,-199.0411873224678,-209.66648807075333,10.625300748285525
37,347755.4103326531,4277481.168061225,44901.36661224533,-197.67852488852586,-208.48182934961125,10.80330446108539
38,347755.4103326531,4278694.718510204,46114.91706122458,-200.670696381363,-207.39923172590576,6.728535344542763
39,347755.4103326531,4279908.268959184,47328.46751020476,-201.9876183865438,-206.31737857277892,4.32976018623512
40,347755.4103326531,4281121.819408163,48542.01795918401,-205.00109860457835,-205.53213739105874,0.5310387864803943
41,347755.4103326531,4282335.369857143,49755.568408163264,-203.60745929225263,-204.66447808758483,1.0570187953321977
42,347755.4103326531,4283548.920306123,50969.11885714345,-205.46708809952707,-204.147531322876,-1.3195567766510692
43,347755.4103326531,4284762.470755102,52182.6693061227,-205.4878436492493,-203.6814258743449,-1.8064177749043893
44,347755.4103326531,4285976.021204082,53396.21975510288,-205.55139784260734,-203.2789211978554,-2.272476644751947
45,347755.4103326531,4287189.571653062,54609.77020408213,-207.37778353287013,-203.21131655720473,-4.166466975665401
46,347755.4103326531,4288403.122102041,55823.32065306138,-207.32475911453787,-203.3766423392431,-3.9481167752947783
