DEPTH,CALI,RHOB,GR,NPHI,DT,SP,SDT
76.2,13.042,,70.9117,0.4793,,-134.2969,
76.3524,13.0303,,66.7124,0.3873,,-133.75,
76.5048,13.0186,,64.7252,0.5467,,-133.3047,
76.6572,13.0186,,61.3588,0.4511,,-133.8047,
76.8096,13.0186,,61.1134,0.5013,,-131.1484,
76.962,13.0303,,58.4343,0.4303,,-131.5703,
77.1144,13.0303,,55.9791,0.4716,,-132.0313,
77.2668,13.0186,,60.3771,0.5169,,-131.9821,
77.4192,13.042,,59.6287,0.6512,,-131.6016,
77.5716,13.0653,,61.6375,0.8162,,-132.2292,
77.724,13.0536,,60.1413,0.8181,,-132.3281,
77.8764,13.042,,59.9288,0.6903,,-131.2969,
78.0288,13.042,,55.648,0.5163,,-132.1016,
78.1812,13.042,,50.9269,0.51,,-130.2031,
78.3336,13.042,,56.3308,0.4647,,-132.8281,
78.486,13.042,,56.9271,0.4924,,-134.5469,
78.6384,13.042,,60.4204,0.4866,,-136.8594,
78.7908,13.0536,,57.2474,0.5539,,-135.1172,
78.9432,13.0653,,62.1837,0.5833,,-135.7109,
79.0956,13.0653,,61.6918,0.5997,,-137.25,
79.248,13.042,,63.6131,0.5638,,-136.1875,
79.4004,13.0536,,64.8642,0.5234,,-135.4297,
79.5528,13.0653,,63.9042,0.5731,,-135.5234,
79.7052,13.0536,,60.1959,0.6564,,-133.6172,
79.8576,13.0653,,58.4966,0.7207,,-133.0391,
80.01,13.0886,,61.9814,0.5353,,-132.8984,
80.1624,13.042,,63.3396,0.4899,,-132.125,
80.3148,13.042,,64.0765,0.4669,,-132.7266,
80.4672,13.042,,62.1118,0.4885,,-133.6563,
80.6196,13.042,,60.2094,0.4651,,-129.75,
80.772,13.0186,,60.1667,0.4606,,-125.9297,
80.9244,13.0653,,60.9078,0.5895,,-126.1484,
81.0768,13.042,,59.8471,0.7717,,-126.6406,
81.2292,13.042,,58.3734,0.7152,,-126.5156,
81.3816,13.0653,,52.3522,0.8105,,-128.9531,
81.534,13.042,,57.4727,0.7548,,-129.7969,
81.6864,13.042,,57.9638,0.628,,-129.1563,
81.8388,13.0536,,66.0925,0.5174,,-129.8203,
81.9912,13.0536,,60.9329,0.4358,,-131.7344,
82.1436,13.042,,58.7008,0.4115,,-132.8281,
82.296,13.042,,53.7887,0.4431,,-134.9583,
82.4484,13.042,,57.7184,0.589,,-132.5357,
82.6008,13.0653,,61.2004,0.6567,,-132.6719,
82.7532,13.0653,,63.6581,0.6044,,-132.0347,
82.9056,13.0536,,67.0753,0.5967,,-131.6484,
83.058,13.042,,63.6134,0.5895,,-133.2891,
83.2104,13.0536,,64.8645,0.5423,,-132.9554,
83.3628,13.042,,61.4028,0.4661,,-134.9609,
83.5152,13.0653,,61.6919,0.4791,,-135.0347,
83.6676,13.042,,63.4493,0.5238,,-134.2969,
83.82,13.042,,61.2388,0.6439,,-135.4766,
83.9724,13.0536,,57.0486,0.7956,,-134.8438,
84.1248,13.0653,,51.8256,0.8292,,-134.9297,
84.2772,13.0653,,53.027,0.7038,,-136.0078,
84.4296,13.042,,55.2352,0.5545,,-136.1953,
84.582,13.042,,57.4456,0.4636,,-137.4531,
84.7344,13.0653,,58.9887,0.4848,,-137.3203,
84.8868,13.0653,,59.7256,0.5565,,-138.0938,
85.0392,13.042,,56.9813,0.656,,-139.75,
85.1916,13.042,,60.4201,0.5266,,-140.8359,
85.344,13.0653,,61.9381,0.4299,,-139.9297,
85.4964,13.0653,,63.9043,0.3646,,-140.1641,
85.6488,13.0653,,56.0389,0.4312,,-141.3125,
85.8012,13.042,,57.7186,0.3819,,-140.8906,
85.9536,13.042,,60.666,0.4907,,-141.6563,
86.106,13.042,,64.5959,0.46,,-141.2266,
86.2584,13.042,,65.2507,0.5603,,-140.7422,
86.4108,13.042,,63.6366,0.4833,,-140.5156,
86.5632,13.042,,61.0986,0.5105,,-141.2734,
86.7156,13.042,,59.7064,0.5058,,-141.9766,
86.868,13.0653,,60.3809,0.4943,,-141.6953,
87.0204,13.042,,62.139,0.4813,,-141.2734,
87.1728,13.042,,63.122,0.4749,,-141.6875,
