DEPTH,CALI,CHKS:1,CHKS:2,RHOB,GR,DT,RES,SP
157.8688,10.0514,,,2.1693,110.074,133.9613,1.6725,
158.0212,10.2692,,,2.209,110.6535,133.2606,1.6303,
158.1736,11.1016,,,2.2064,109.0553,135.0338,1.6068,
158.326,12.3505,,,2.137,103.2399,137.1116,1.5737,
158.4784,13.1517,,,2.0801,92.6497,137.4014,1.5742,
158.6308,13.1943,,,2.063,82.4731,137.1706,1.5925,
158.7832,13.0533,,,2.0616,79.3439,137.0511,1.6251,
158.9356,13.0481,,,2.0714,81.8088,136.5448,1.689,
159.088,13.1595,,,2.1055,84.9278,135.8082,1.7294,
159.2404,13.3821,,,2.0939,87.9936,137.0215,1.6865,
159.3928,13.8478,,,2.0025,89.529,141.6785,1.5814,
159.5452,14.1269,,,1.9364,87.5263,148.8026,1.4815,
159.6976,14.1913,,,1.9044,85.8854,154.8464,1.3735,
159.85,14.5039,,,1.8708,87.5623,154.4441,1.2896,
160.0024,14.5767,,,1.911,88.9487,149.3397,1.2279,
160.1548,14.829,,,1.9961,86.3768,147.435,1.2034,
160.3072,15.5978,,,2.0275,80.9596,148.9583,1.2093,
160.4596,16.609,,,1.9651,74.4386,150.0635,1.25,
160.612,17.5726,,,1.8179,70.406,151.1446,1.2733,
160.7644,18.2957,,,1.6828,70.589,153.1059,1.3123,
160.9168,17.4127,,,1.6305,73.5679,152.4475,1.4095,
161.0692,14.9374,,,1.689,80.1475,148.2975,1.4928,
161.2216,14.3501,,,1.8409,88.0107,143.2334,1.5506,
161.374,15.0824,,,1.9968,92.6132,138.5003,1.5059,
161.5264,15.322,,,2.0572,96.0711,135.3173,1.408,
161.6788,14.4402,,,1.9644,99.7845,134.8693,1.38,
161.8312,13.3252,,,1.9706,101.1922,135.5004,1.389,
161.9836,13.6072,,,2.0043,96.212,134.6006,1.3874,
162.136,14.502,,,2.0192,89.8637,132.9258,1.3133,
162.2884,14.8521,,,2.0974,86.2981,133.4981,1.2256,
162.4408,14.3118,,,2.0202,83.6914,136.1513,1.1795,
162.5932,12.7675,,,1.9433,82.2652,138.8737,1.1606,
162.7456,11.1269,,,1.9318,82.1991,141.5466,1.1734,
162.898,10.589,,,1.8275,78.6412,142.5655,1.2265,
163.0504,10.4719,,,1.7762,72.646,135.6176,1.3648,
163.2028,10.1062,,,1.8933,65.2415,118.9855,1.6443,
163.3552,9.9039,,,1.9825,55.2548,103.3811,2.0567,
163.5076,9.9817,,,2.0843,50.4379,98.9221,2.1329,
163.66,10.5857,,,2.3092,57.037,105.2155,1.744,
163.8124,11.1233,,,2.3211,67.5562,115.1359,1.4188,
163.9648,10.5604,,,2.2638,75.3068,124.6233,1.2662,
164.1172,9.7208,,,2.2176,82.2709,130.9698,1.1924,
164.2696,9.7191,,,2.219,88.9106,132.2514,1.1626,
164.422,10.1433,,,2.218,90.2225,131.461,1.1577,
164.5744,10.6669,,,2.2434,85.1511,132.4425,1.1678,
164.7268,10.7156,,,2.2224,80.4268,136.6263,1.1816,
164.8792,10.1381,,,2.1685,81.1378,141.0087,1.1942,
165.0316,9.8638,,,2.1527,83.8581,141.4767,1.2036,
165.184,9.9344,,,2.1944,86.3853,138.8078,1.212,
165.3364,9.8776,,,2.2884,87.3315,136.8434,1.2235,
165.4888,9.6752,,,2.3066,87.7082,135.9717,1.2378,
165.6412,9.5833,,,2.2938,88.5859,134.5815,1.2522,
165.7936,9.4946,,,2.3132,89.5251,133.8621,1.2666,
165.946,9.5195,,,2.3142,90.9249,134.9208,1.2821,
166.0984,9.7862,,,2.2919,91.4905,137.5537,1.3038,
166.2508,10.2487,,,2.1986,88.9918,139.2152,1.3376,
166.4032,10.7507,,,2.1249,83.894,139.0348,1.3816,
166.5556,10.9118,,,2.1113,80.9952,137.1962,1.417,
166.708,10.6472,,,2.1102,83.0207,133.6988,1.4234,
166.8604,10.1921,,,2.1661,86.3369,130.6742,1.4063,
167.0128,9.9128,,,2.2471,87.6443,130.5251,1.3946,
167.1652,9.8214,,,2.2441,88.1511,133.2119,1.4057,
167.3176,9.9861,,,2.2615,87.6967,136.7607,1.4237,
167.47,10.2426,,,2.2866,87.0045,138.5862,1.426,
167.6224,10.5663,,,2.2297,89.0161,136.8891,1.4139,
